# Serializing assets/vocabularies/subject-matter/latest/subject-matter.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/subject-matter
# title: Subject matter
# version: 20210116-0
# description: Subject matter
key,url,deprecated,valid_from,country_code,label_en,label_it
COPO,http://publications.europa.eu/resource/authority/subject-matter/COPO,false,1952-07-24,COPO,Police cooperation,Cooperazione di polizia
COPT,http://publications.europa.eu/resource/authority/subject-matter/COPT,false,1952-07-24,COPT,"Economic, financial and technical cooperation with third countries","Cooperazione economica, finanziaria e tecnica con i paesi terzi"
CORE,http://publications.europa.eu/resource/authority/subject-matter/CORE,false,1952-07-24,CORE,Closer cooperation,Cooperazione rafforzata
COTO,http://publications.europa.eu/resource/authority/subject-matter/COTO,false,1952-07-24,COTO,Cotton,Cotone
CRBM,http://publications.europa.eu/resource/authority/subject-matter/CRBM,false,1952-07-24,CRBM,Conservation of marine biological resources,Conservazione delle risorse biologiche del mare
CROM,http://publications.europa.eu/resource/authority/subject-matter/CROM,false,1952-07-24,CROM,Rome Convention of 19 June 1980,Convenzione di Roma del 18 giugno 1980
CTEM,http://publications.europa.eu/resource/authority/subject-matter/CTEM,false,1952-07-24,CTEM,Quotas between Member States,Contingenti tra Stati membri
CULT,http://publications.europa.eu/resource/authority/subject-matter/CULT,false,1952-07-24,CULT,Culture,Cultura
D-AL,http://publications.europa.eu/resource/authority/subject-matter/D-AL,false,1952-07-24,D-AL,Foodstuffs,Alimentari
DADV,http://publications.europa.eu/resource/authority/subject-matter/DADV,false,1952-07-24,DADV,Copyright and related rights,Diritto d'autore e diritti vicini
DDES,http://publications.europa.eu/resource/authority/subject-matter/DDES,false,1952-07-24,DDES,Right of entry and residence,Diritto d'ingresso e di soggiorno
DDLH,http://publications.europa.eu/resource/authority/subject-matter/DDLH,false,1952-07-24,DDLH,Human rights,Diritti dell'uomo
DECH,http://publications.europa.eu/resource/authority/subject-matter/DECH,false,1952-07-24,DECH,Waste,Rifiuti
DEMO,http://publications.europa.eu/resource/authority/subject-matter/DEMO,false,1952-07-24,DEMO,Designs,Disegni e modelli
DFON,http://publications.europa.eu/resource/authority/subject-matter/DFON,false,1952-07-24,DFON,Fundamental rights,Diritti fondamentali
DGEN,http://publications.europa.eu/resource/authority/subject-matter/DGEN,false,1952-07-24,DGEN,General provisions,Disposizioni generali
DIFF,http://publications.europa.eu/resource/authority/subject-matter/DIFF,false,1952-07-24,DIFF,Dissemination of information,Diffusione delle conoscenze
DIPL,http://publications.europa.eu/resource/authority/subject-matter/DIPL,false,1952-07-24,DIPL,External action by the Union,Azione esterna dell'Unione
DISC,http://publications.europa.eu/resource/authority/subject-matter/DISC,false,1952-07-24,DISC,Anti-discrimination,Non discriminazione
DOM,http://publications.europa.eu/resource/authority/subject-matter/DOM,false,1952-07-24,DOM,French overseas departments,Dipartimenti francesi d'oltremare
DOUA,http://publications.europa.eu/resource/authority/subject-matter/DOUA,false,1952-07-24,DOUA,Customs Cooperation,Cooperazione doganale
DROIT,http://publications.europa.eu/resource/authority/subject-matter/DROIT,false,1952-07-24,DROIT,General principles of Community law,Principi generali di diritto comunitario
DUMP,http://publications.europa.eu/resource/authority/subject-matter/DUMP,false,1952-07-24,DUMP,Dumping,Dumping
EAMA,http://publications.europa.eu/resource/authority/subject-matter/EAMA,false,1952-07-24,EAMA,Associated African States and Madagascar,Stati africani e malgasci associati
ECU,http://publications.europa.eu/resource/authority/subject-matter/ECU,false,1952-07-24,ECU,Conversion rates for the ECU,Corso dei cambi dell'ECU
EFPJ,http://publications.europa.eu/resource/authority/subject-matter/EFPJ,false,1952-07-24,EFPJ,"Education, vocational training and youth","Istruzione, formazione professionale e gioventù"
ELSJ,http://publications.europa.eu/resource/authority/subject-matter/ELSJ,false,1952-07-24,ELSJ,"Area of freedom, security and justice","Spazio di libertà, sicurezza e giustizia"
EMPL,http://publications.europa.eu/resource/authority/subject-matter/EMPL,false,1952-07-24,EMPL,Employment,Occupazione
EMPR,http://publications.europa.eu/resource/authority/subject-matter/EMPR,false,1952-07-24,EMPR,Loans contracted by the ECSC,Prestiti
ENCO,http://publications.europa.eu/resource/authority/subject-matter/ENCO,false,1952-07-24,ENCO,Agreements and concentrations,Intese e concentrazioni
ENER,http://publications.europa.eu/resource/authority/subject-matter/ENER,false,1952-07-24,ENER,Energy,Energia
ENTC,http://publications.europa.eu/resource/authority/subject-matter/ENTC,false,1952-07-24,ENTC,Joint undertakings,Imprese comuni
ENTR,http://publications.europa.eu/resource/authority/subject-matter/ENTR,false,1952-07-24,ENTR,"Agreements, decisions and concerted practices",Intese
ENV,http://publications.europa.eu/resource/authority/subject-matter/ENV,false,1952-07-24,ENV,Environment,Ambiente
ESPA,http://publications.europa.eu/resource/authority/subject-matter/ESPA,false,1952-07-24,ESPA,Space,Spazio
ETAB,http://publications.europa.eu/resource/authority/subject-matter/ETAB,false,1952-07-24,ETAB,Right of establishment,Diritto di stabilimento
ETEC,http://publications.europa.eu/resource/authority/subject-matter/ETEC,false,1952-07-24,ETEC,Technical barriers,Ostacoli tecnici
EURO,http://publications.europa.eu/resource/authority/subject-matter/EURO,false,1952-07-24,EURO,Euro,Euro
EXCL,http://publications.europa.eu/resource/authority/subject-matter/EXCL,false,1952-07-24,EXCL,Exclusive agreements,Contratti di esclusiva
EXEC,http://publications.europa.eu/resource/authority/subject-matter/EXEC,false,1952-07-24,EXEC,Brussels Convention of 27 September 1968 - Enforcement,Convenzione di Bruxelles del 27 settembre 1968 - Esecuzione
EXT,http://publications.europa.eu/resource/authority/subject-matter/EXT,false,1994-01-01,EXT,External relations,Relazioni esterne
F-L,http://publications.europa.eu/resource/authority/subject-matter/F-L,false,1952-07-24,F-L,Fruit and vegetables,Ortofrutticoli
FD,http://publications.europa.eu/resource/authority/subject-matter/FD,false,1952-07-24,FD,Hard fibres,Fibre dure
FDES,http://publications.europa.eu/resource/authority/subject-matter/FDES,false,1952-07-24,FDES,Dry fodder,Foraggi essiccati
FEADER,http://publications.europa.eu/resource/authority/subject-matter/FEADER,false,1952-07-24,FEADER,Agricultural structural funds,Fondi strutturali per l'agricoltura
FEAGA,http://publications.europa.eu/resource/authority/subject-matter/FEAGA,false,1952-07-24,FEAGA,European Agricultural Guarantee Fund,Fondo europeo agricolo di garanzia
FED,http://publications.europa.eu/resource/authority/subject-matter/FED,false,1952-07-24,FED,European Development Fund (EDF),Fondo europeo di sviluppo (FES)
FEDE,http://publications.europa.eu/resource/authority/subject-matter/FEDE,false,1952-07-24,FEDE,European Regional Development Fund (ERDF),Fondo europeo di sviluppo regionale (FESR)
FEOG,http://publications.europa.eu/resource/authority/subject-matter/FEOG,false,1952-07-24,FEOG,European Agricultural Guidance and Guarantee Fund (EAGGF),Fondo europeo agricolo di orientamento e di garanzia (FEAOG)
FER,http://publications.europa.eu/resource/authority/subject-matter/FER,false,1952-07-24,FER,Iron,Ferro
FERR,http://publications.europa.eu/resource/authority/subject-matter/FERR,false,1952-07-24,FERR,Scrap,Rottame
FEVT,http://publications.europa.eu/resource/authority/subject-matter/FEVT,false,1952-07-24,FEVT,Eur Foundation Improvement of Living and Working Conditions,Fondazione europea miglioramento condizioni vita e lavoro
FIN,http://publications.europa.eu/resource/authority/subject-matter/FIN,false,1952-07-24,FIN,Financial provisions,Disposizioni finanziarie
FINC,http://publications.europa.eu/resource/authority/subject-matter/FINC,false,1952-07-24,FINC,Financial provisions ECSC,Disposizioni finanziarie CECA
FISC,http://publications.europa.eu/resource/authority/subject-matter/FISC,false,1952-07-24,FISC,Taxation,Affari fiscali
FLT,http://publications.europa.eu/resource/authority/subject-matter/FLT,false,1952-07-24,FLT,Processed fruit and vegetables,Ortofrutticoli trasformati
FONT,http://publications.europa.eu/resource/authority/subject-matter/FONT,false,1952-07-24,FONT,Pig iron,Ghisa
FRON,http://publications.europa.eu/resource/authority/subject-matter/FRON,false,1952-07-24,FRON,Border checks,Controlli alle frontiere
FSE,http://publications.europa.eu/resource/authority/subject-matter/FSE,false,1952-07-24,FSE,European Social Fund (ESF),Fondo sociale europeo (FSE)
GATT,http://publications.europa.eu/resource/authority/subject-matter/GATT,false,1952-07-24,GATT,General Agreement on Tariffs and Trade (GATT),Accordo generale sulle tariffe e il commercio (GATT)
HARD,http://publications.europa.eu/resource/authority/subject-matter/HARD,false,1952-07-24,HARD,Harmonisation of customs law: customs territory,Armonizzazione del diritto doganale: territorio doganale
HARE,http://publications.europa.eu/resource/authority/subject-matter/HARE,false,1952-07-24,HARE,"Harmonisation of customs law: warehouses, free zones",Armonizzazione del diritto doganale: depositi zone franche
HARM,http://publications.europa.eu/resource/authority/subject-matter/HARM,false,1952-07-24,HARM,Harmonisation of laws,Armonizzazione delle legislazioni
HARO,http://publications.europa.eu/resource/authority/subject-matter/HARO,false,1952-07-24,HARO,Harmonisation of customs law: origin of goods,Armonizzazione del diritto doganale: origine delle merci
HARP,http://publications.europa.eu/resource/authority/subject-matter/HARP,false,1952-07-24,HARP,Harmonisation of customs law: inward processing,Armonizzazione del diritto doganale: perfezionamento attivo
HART,http://publications.europa.eu/resource/authority/subject-matter/HART,false,1952-07-24,HART,Harmonisation of customs law: Community transit,Armonizzazione del diritto doganale: transito comunitario
HARV,http://publications.europa.eu/resource/authority/subject-matter/HARV,false,1952-07-24,HARV,Harmonisation of customs law: value for customs purposes,Armonizzazione del diritto doganale: valore in dogana
HARX,http://publications.europa.eu/resource/authority/subject-matter/HARX,false,1952-07-24,HARX,Harmonisation of customs law: various,Armonizzazione del diritto doganale: diversi
HORS,http://publications.europa.eu/resource/authority/subject-matter/HORS,false,1952-07-24,HORS,Non-Annex II EEC Treaty products,Prodotti non compresi nell'allegato II del trattato CEE
HOUB,http://publications.europa.eu/resource/authority/subject-matter/HOUB,false,1952-07-24,HOUB,Hops,Luppolo
HOUI,http://publications.europa.eu/resource/authority/subject-matter/HOUI,false,1952-07-24,HOUI,Hard coal,Antracite
HUMA,http://publications.europa.eu/resource/authority/subject-matter/HUMA,false,1952-07-24,HUMA,Humanitarian aid,Aiuto umanitario
IDST,http://publications.europa.eu/resource/authority/subject-matter/IDST,false,1952-07-24,IDST,Scientific and technical information and documentation,Informazione e documentazione scientifiche e tecniche
IME,http://publications.europa.eu/resource/authority/subject-matter/IME,false,1952-07-24,IME,European Monetary Institute,Istituto monetario europeo
IMMI,http://publications.europa.eu/resource/authority/subject-matter/IMMI,false,1952-07-24,IMMI,Immigration and asylum policy,Politica di migrazione e asilo
IMPK,http://publications.europa.eu/resource/authority/subject-matter/IMPK,false,1952-07-24,IMPK,Provisions implementing Article 95 - ECSC,Disposizioni a norma dell'art. 95 CECA
IMPL,http://publications.europa.eu/resource/authority/subject-matter/IMPL,false,1952-07-24,IMPL,Provisions under Article 235 EEC,Disposizioni in applicazione dell'articolo 235 CEE
INDR,http://publications.europa.eu/resource/authority/subject-matter/INDR,false,1952-07-24,INDR,Indirect taxation,Imposte indirette
INDU,http://publications.europa.eu/resource/authority/subject-matter/INDU,false,1952-07-24,INDU,Industry,Industria
INFO,http://publications.europa.eu/resource/authority/subject-matter/INFO,false,1952-07-24,INFO,Information and verification,Informazione e verifiche
INFQ,http://publications.europa.eu/resource/authority/subject-matter/INFQ,false,1952-07-24,INFQ,Electronic data processing,Informatica
INST,http://publications.europa.eu/resource/authority/subject-matter/INST,false,1952-07-24,INST,Provisions governing the Institutions,Disposizioni istituzionali
INTE,http://publications.europa.eu/resource/authority/subject-matter/INTE,false,1952-07-24,INTE,Internal taxation,Imposizioni interne
INV,http://publications.europa.eu/resource/authority/subject-matter/INV,false,1952-07-24,INV,Investments,Investimenti
IRDA,http://publications.europa.eu/resource/authority/subject-matter/IRDA,false,1952-07-24,IRDA,Integration of the German Democratic Republic (GDR),Integrazione della Repubblica democratica tedesca (RDT)
J-AI,http://publications.europa.eu/resource/authority/subject-matter/J-AI,false,1952-07-24,J-AI,Justice and home affairs,Giustizia e affari interni
