# Serializing assets/vocabularies/filetypes/latest/filetypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/file-type
# title: File type
# version: 20210929-0
# description: File type
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
METS_ZIP,http://publications.europa.eu/resource/authority/file-type/METS_ZIP,false,2003-10-27,METS_ZIP,METS package,,
MHTML,http://publications.europa.eu/resource/authority/file-type/MHTML,false,1999-03-01,MHTML,MHTML,,
MOBI,http://publications.europa.eu/resource/authority/file-type/MOBI,false,2012-09-01,MOBI,Mobipocket eBook,,
MOP,http://publications.europa.eu/resource/authority/file-type/MOP,false,2013-09-18,MOP,MOP,,
MPEG2,http://publications.europa.eu/resource/authority/file-type/MPEG2,false,2000-12-01,MPEG2,MPEG-2,,
MPEG4,http://publications.europa.eu/resource/authority/file-type/MPEG4,false,2001-10-11,MPEG4,MPEG-4,,
MPEG4_AVC,http://publications.europa.eu/resource/authority/file-type/MPEG4_AVC,false,2003-05-30,MPEG4_AVC,MPEG-4 AVC,,
MRSID,http://publications.europa.eu/resource/authority/file-type/MRSID,false,1996-01-01,MRSID,MrSID,,
MSG_HTTP,http://publications.europa.eu/resource/authority/file-type/MSG_HTTP,false,2014-06-01,MSG_HTTP,HTTP Message,,
MSI,http://publications.europa.eu/resource/authority/file-type/MSI,false,1999-08-31,MSI,MSI,,
MXD,http://publications.europa.eu/resource/authority/file-type/MXD,false,2013-09-18,MXD,MXD,,
