# Serializing assets/vocabularies/languages/latest/languages.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/language
# title: Language
# version: 20210929-0
# description: Language
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
AFD,http://publications.europa.eu/resource/authority/language/AFD,false,,1950-05-09,AFD,,
AFE,http://publications.europa.eu/resource/authority/language/AFE,false,,1950-05-09,AFE,,
AFG,http://publications.europa.eu/resource/authority/language/AFG,false,,1950-05-09,AFG,Afghan Sign Language,lingua dei segni afgana
AFH,http://publications.europa.eu/resource/authority/language/AFH,false,,1950-05-09,AFH,,
AFI,http://publications.europa.eu/resource/authority/language/AFI,false,,1950-05-09,AFI,,
AFK,http://publications.europa.eu/resource/authority/language/AFK,false,,1950-05-09,AFK,,
AFN,http://publications.europa.eu/resource/authority/language/AFN,false,,1950-05-09,AFN,,
AFO,http://publications.europa.eu/resource/authority/language/AFO,false,,1950-05-09,AFO,,
AFP,http://publications.europa.eu/resource/authority/language/AFP,false,,1950-05-09,AFP,,
AFR,http://publications.europa.eu/resource/authority/language/AFR,false,,1950-05-09,AFR,Afrikaans,afrikaans
AFS,http://publications.europa.eu/resource/authority/language/AFS,false,,1950-05-09,AFS,,
AFT,http://publications.europa.eu/resource/authority/language/AFT,false,,1950-05-09,AFT,,
AFU,http://publications.europa.eu/resource/authority/language/AFU,false,,1950-05-09,AFU,,
AFZ,http://publications.europa.eu/resource/authority/language/AFZ,false,,1950-05-09,AFZ,,
AGA,http://publications.europa.eu/resource/authority/language/AGA,false,,1950-05-09,AGA,,
AGB,http://publications.europa.eu/resource/authority/language/AGB,false,,1950-05-09,AGB,,
AGC,http://publications.europa.eu/resource/authority/language/AGC,false,,1950-05-09,AGC,,
AGD,http://publications.europa.eu/resource/authority/language/AGD,false,,1950-05-09,AGD,,
AGE,http://publications.europa.eu/resource/authority/language/AGE,false,,1950-05-09,AGE,,
AGF,http://publications.europa.eu/resource/authority/language/AGF,false,,1950-05-09,AGF,,
AGG,http://publications.europa.eu/resource/authority/language/AGG,false,,1950-05-09,AGG,,
AGH,http://publications.europa.eu/resource/authority/language/AGH,false,,1950-05-09,AGH,,
AGI,http://publications.europa.eu/resource/authority/language/AGI,false,,1950-05-09,AGI,,
AGJ,http://publications.europa.eu/resource/authority/language/AGJ,false,,1950-05-09,AGJ,,
AGK,http://publications.europa.eu/resource/authority/language/AGK,false,,1950-05-09,AGK,,
AGL,http://publications.europa.eu/resource/authority/language/AGL,false,,1950-05-09,AGL,,
AGM,http://publications.europa.eu/resource/authority/language/AGM,false,,1950-05-09,AGM,,
AGN,http://publications.europa.eu/resource/authority/language/AGN,false,,1950-05-09,AGN,,
AGO,http://publications.europa.eu/resource/authority/language/AGO,false,,1950-05-09,AGO,,
AGP,http://publications.europa.eu/resource/authority/language/AGP,false,,1950-05-09,AGP,,
AGQ,http://publications.europa.eu/resource/authority/language/AGQ,false,,1950-05-09,AGQ,,
AGR,http://publications.europa.eu/resource/authority/language/AGR,false,,1950-05-09,AGR,,
AGS,http://publications.europa.eu/resource/authority/language/AGS,false,,1950-05-09,AGS,,
AGT,http://publications.europa.eu/resource/authority/language/AGT,false,,1950-05-09,AGT,,
AGU,http://publications.europa.eu/resource/authority/language/AGU,false,,1950-05-09,AGU,,
AGV,http://publications.europa.eu/resource/authority/language/AGV,false,,1950-05-09,AGV,,
AGW,http://publications.europa.eu/resource/authority/language/AGW,false,,1950-05-09,AGW,,
AGX,http://publications.europa.eu/resource/authority/language/AGX,false,,1950-05-09,AGX,,
AGY,http://publications.europa.eu/resource/authority/language/AGY,false,,1950-05-09,AGY,,
AGZ,http://publications.europa.eu/resource/authority/language/AGZ,false,,1950-05-09,AGZ,,
AHA,http://publications.europa.eu/resource/authority/language/AHA,false,,1950-05-09,AHA,,
AHB,http://publications.europa.eu/resource/authority/language/AHB,false,,1950-05-09,AHB,,
AHG,http://publications.europa.eu/resource/authority/language/AHG,false,,1950-05-09,AHG,,
AHH,http://publications.europa.eu/resource/authority/language/AHH,false,,1950-05-09,AHH,,
AHI,http://publications.europa.eu/resource/authority/language/AHI,false,,1950-05-09,AHI,,
AHK,http://publications.europa.eu/resource/authority/language/AHK,false,,1950-05-09,AHK,,
AHL,http://publications.europa.eu/resource/authority/language/AHL,false,,1950-05-09,AHL,,
AHM,http://publications.europa.eu/resource/authority/language/AHM,false,,1950-05-09,AHM,,
AHN,http://publications.europa.eu/resource/authority/language/AHN,false,,1950-05-09,AHN,,
AHO,http://publications.europa.eu/resource/authority/language/AHO,false,,1950-05-09,AHO,,
AHP,http://publications.europa.eu/resource/authority/language/AHP,false,,1950-05-09,AHP,,
AHR,http://publications.europa.eu/resource/authority/language/AHR,false,,1950-05-09,AHR,,
AHS,http://publications.europa.eu/resource/authority/language/AHS,false,,1950-05-09,AHS,,
AHT,http://publications.europa.eu/resource/authority/language/AHT,false,,1950-05-09,AHT,,
AIA,http://publications.europa.eu/resource/authority/language/AIA,false,,1950-05-09,AIA,,
AIB,http://publications.europa.eu/resource/authority/language/AIB,false,,1950-05-09,AIB,,
AIC,http://publications.europa.eu/resource/authority/language/AIC,false,,1950-05-09,AIC,,
AID,http://publications.europa.eu/resource/authority/language/AID,false,,1950-05-09,AID,,
AIE,http://publications.europa.eu/resource/authority/language/AIE,false,,1950-05-09,AIE,,
AIF,http://publications.europa.eu/resource/authority/language/AIF,false,,1950-05-09,AIF,,
AIG,http://publications.europa.eu/resource/authority/language/AIG,false,,1950-05-09,AIG,,
AIH,http://publications.europa.eu/resource/authority/language/AIH,false,,1950-05-09,AIH,,
AII,http://publications.europa.eu/resource/authority/language/AII,false,,1950-05-09,AII,,
AIJ,http://publications.europa.eu/resource/authority/language/AIJ,false,,1950-05-09,AIJ,,
AIK,http://publications.europa.eu/resource/authority/language/AIK,false,,1950-05-09,AIK,,
AIL,http://publications.europa.eu/resource/authority/language/AIL,false,,1950-05-09,AIL,,
AIM,http://publications.europa.eu/resource/authority/language/AIM,false,,1950-05-09,AIM,,
AIN,http://publications.europa.eu/resource/authority/language/AIN,false,,1950-05-09,AIN,,
AIO,http://publications.europa.eu/resource/authority/language/AIO,false,,1950-05-09,AIO,,
AIP,http://publications.europa.eu/resource/authority/language/AIP,false,,1950-05-09,AIP,,
AIQ,http://publications.europa.eu/resource/authority/language/AIQ,false,,1950-05-09,AIQ,,
AIR,http://publications.europa.eu/resource/authority/language/AIR,false,,1950-05-09,AIR,,
AIS,http://publications.europa.eu/resource/authority/language/AIS,false,,1950-05-09,AIS,,
AIT,http://publications.europa.eu/resource/authority/language/AIT,false,,1950-05-09,AIT,,
AIW,http://publications.europa.eu/resource/authority/language/AIW,false,,1950-05-09,AIW,,
AIX,http://publications.europa.eu/resource/authority/language/AIX,false,,1950-05-09,AIX,,
AIY,http://publications.europa.eu/resource/authority/language/AIY,false,,1950-05-09,AIY,,
AJA,http://publications.europa.eu/resource/authority/language/AJA,false,,1950-05-09,AJA,,
AJG,http://publications.europa.eu/resource/authority/language/AJG,false,,1950-05-09,AJG,,
