# Serializing assets/vocabularies/sites/latest/sites.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/site
# title: Site
# version: 20210929-0
# description: Site
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
BATIMJARDIN,http://publications.europa.eu/resource/authority/site/BATIMJARDIN,false,1958-01-01,BATIMJARDIN,Jardin building,,
BAUDDHALOKA389,http://publications.europa.eu/resource/authority/site/BAUDDHALOKA389,false,1958-01-01,BAUDDHALOKA389,Bauddhaloka 389,,
BECH,http://publications.europa.eu/resource/authority/site/BECH,false,1958-01-01,BECH,Bech building,,
BEI,http://publications.europa.eu/resource/authority/site/BEI,false,1958-01-01,BEI,European Investment Bank,,Banca europea per gli investimenti
BELAUNDE332,http://publications.europa.eu/resource/authority/site/BELAUNDE332,false,1958-01-01,BELAUNDE332,Belaunde 332,,
BERCY201_203,http://publications.europa.eu/resource/authority/site/BERCY201_203,false,2019-11-22,BERCY201_203,Bercy 201-203,,
BERL,http://publications.europa.eu/resource/authority/site/BERL,false,1958-01-01,BERL,,,
BMT,http://publications.europa.eu/resource/authority/site/BMT,false,2016-11-01,BMT,Belmont Court,,
BORNO19,http://publications.europa.eu/resource/authority/site/BORNO19,false,1958-01-01,BORNO19,Borno 19,,
BOULEVARD30JUIN,http://publications.europa.eu/resource/authority/site/BOULEVARD30JUIN,false,1958-01-01,BOULEVARD30JUIN,Boulevard 30 juin,,
BOUR,http://publications.europa.eu/resource/authority/site/BOUR,false,1958-01-01,BOUR,,,
BOUR2,http://publications.europa.eu/resource/authority/site/BOUR2,false,1958-01-01,BOUR2,,,
BQL,http://publications.europa.eu/resource/authority/site/BQL,false,1958-01-01,BQL,European Parliament Office in Belgium,,Ufficio del Parlamento europeo in Belgio
BRE2,http://publications.europa.eu/resource/authority/site/BRE2,false,1958-01-01,BRE2,,,
BREY,http://publications.europa.eu/resource/authority/site/BREY,false,1958-01-01,BREY,,,
BSPHAUS,http://publications.europa.eu/resource/authority/site/BSPHAUS,false,1958-01-01,BSPHAUS,BSP Haus,,
BU1,http://publications.europa.eu/resource/authority/site/BU1,false,1958-01-01,BU1,,,
BU24,http://publications.europa.eu/resource/authority/site/BU24,false,1958-01-01,BU24,,,
BU25,http://publications.europa.eu/resource/authority/site/BU25,false,1958-01-01,BU25,,,
BU29,http://publications.europa.eu/resource/authority/site/BU29,false,1958-01-01,BU29,,,
BU31,http://publications.europa.eu/resource/authority/site/BU31,false,1958-01-01,BU31,,,
BU33,http://publications.europa.eu/resource/authority/site/BU33,false,1958-01-01,BU33,,,
BU5,http://publications.europa.eu/resource/authority/site/BU5,false,1958-01-01,BU5,,,
BU9,http://publications.europa.eu/resource/authority/site/BU9,false,1958-01-01,BU9,,,
BUILD_C,http://publications.europa.eu/resource/authority/site/BUILD_C,false,1994-02-12,BUILD_C,C Building,,
BUILD_T,http://publications.europa.eu/resource/authority/site/BUILD_T,false,1999-01-01,BUILD_T,T building,,
BUNDESGASSE18,http://publications.europa.eu/resource/authority/site/BUNDESGASSE18,false,1958-01-01,BUNDESGASSE18,Bundesgasse 18,,
BVS,http://publications.europa.eu/resource/authority/site/BVS,false,1958-01-01,BVS,,,
C107,http://publications.europa.eu/resource/authority/site/C107,false,1958-01-01,C107,,,
C115,http://publications.europa.eu/resource/authority/site/C115,false,2011-10-14,C115,,,
C150,http://publications.europa.eu/resource/authority/site/C150,false,1958-01-01,C150,,,
C158,http://publications.europa.eu/resource/authority/site/C158,false,1986-01-01,C158,,,
C25,http://publications.europa.eu/resource/authority/site/C25,false,1958-01-01,C25,,,
CALLE116,http://publications.europa.eu/resource/authority/site/CALLE116,false,1958-01-01,CALLE116,Calle 116,,
CALLE53MARBELLA,http://publications.europa.eu/resource/authority/site/CALLE53MARBELLA,false,1958-01-01,CALLE53MARBELLA,Calle 53 Marbella,,
CANTONMENTS81,http://publications.europa.eu/resource/authority/site/CANTONMENTS81,false,1958-01-01,CANTONMENTS81,Cantonments 81,,
CAPEVERDEROAD,http://publications.europa.eu/resource/authority/site/CAPEVERDEROAD,false,1958-01-01,CAPEVERDEROAD,Cape-Verde Road,,
CARLOMAGNO1A,http://publications.europa.eu/resource/authority/site/CARLOMAGNO1A,false,1958-01-01,CARLOMAGNO1A,Carlo Magno 1A,,
CASPIAN2,http://publications.europa.eu/resource/authority/site/CASPIAN2,false,1958-01-01,CASPIAN2,Caspian 2,,
CASTELLANA46,http://publications.europa.eu/resource/authority/site/CASTELLANA46,false,1958-01-01,CASTELLANA46,Castellana 46,,
CCAB,http://publications.europa.eu/resource/authority/site/CCAB,false,1958-01-01,CCAB,Albert Borschette Centre,,
CCO,http://publications.europa.eu/resource/authority/site/CCO,true,1958-01-01,CCO,Conference Centre — Kirchberg,,
CDMA,http://publications.europa.eu/resource/authority/site/CDMA,false,1958-01-01,CDMA,,,
CHAHARISEDARAT,http://publications.europa.eu/resource/authority/site/CHAHARISEDARAT,false,1958-01-01,CHAHARISEDARAT,Chahari Sedarat,,
CHAR,http://publications.europa.eu/resource/authority/site/CHAR,false,1958-01-01,CHAR,,,
CHURCHILL30,http://publications.europa.eu/resource/authority/site/CHURCHILL30,true,1958-01-01,CHURCHILL30,Churchill 30,2019-03-10,
CITEOUA,http://publications.europa.eu/resource/authority/site/CITEOUA,false,1958-01-01,CITEOUA,Cité OUA,,
CJ_PALAIS,http://publications.europa.eu/resource/authority/site/CJ_PALAIS,false,2008-12-04,CJ_PALAIS,,,
CJ_TOA,http://publications.europa.eu/resource/authority/site/CJ_TOA,false,2008-07-15,CJ_TOA,Tower A,,
