# Serializing assets/vocabularies/multilingual/latest/multilingual.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/multilingual
# title: Multilingual
# version: 20210616-0
# description: Multilingual
key,url,deprecated,country_code,label_en,label_it
3J0,http://publications.europa.eu/resource/authority/multilingual/3J0,false,3J0,Multilingual Code,
3K0,http://publications.europa.eu/resource/authority/multilingual/3K0,false,3K0,Multilingual Code,
3L0,http://publications.europa.eu/resource/authority/multilingual/3L0,false,3L0,Multilingual Code,
3M0,http://publications.europa.eu/resource/authority/multilingual/3M0,false,3M0,Multilingual Code,
3N0,http://publications.europa.eu/resource/authority/multilingual/3N0,false,3N0,Multilingual Code,
3P0,http://publications.europa.eu/resource/authority/multilingual/3P0,false,3P0,Multilingual Code,
3Q0,http://publications.europa.eu/resource/authority/multilingual/3Q0,false,3Q0,Multilingual Code,
3R0,http://publications.europa.eu/resource/authority/multilingual/3R0,false,3R0,Multilingual Code,
3S0,http://publications.europa.eu/resource/authority/multilingual/3S0,false,3S0,Multilingual Code,
3T0,http://publications.europa.eu/resource/authority/multilingual/3T0,false,3T0,Multilingual Code,
3U0,http://publications.europa.eu/resource/authority/multilingual/3U0,false,3U0,Multilingual Code,
3V0,http://publications.europa.eu/resource/authority/multilingual/3V0,false,3V0,Multilingual Code,
3W0,http://publications.europa.eu/resource/authority/multilingual/3W0,false,3W0,Multilingual Code,
3X0,http://publications.europa.eu/resource/authority/multilingual/3X0,false,3X0,Multilingual Code,
3Y0,http://publications.europa.eu/resource/authority/multilingual/3Y0,false,3Y0,Multilingual Code,
3Z0,http://publications.europa.eu/resource/authority/multilingual/3Z0,false,3Z0,Multilingual Code,
400,http://publications.europa.eu/resource/authority/multilingual/400,false,400,Multilingual Code,
410,http://publications.europa.eu/resource/authority/multilingual/410,false,410,Multilingual Code,
420,http://publications.europa.eu/resource/authority/multilingual/420,false,420,Multilingual Code,
430,http://publications.europa.eu/resource/authority/multilingual/430,false,430,Multilingual Code,
440,http://publications.europa.eu/resource/authority/multilingual/440,false,440,Multilingual Code,
450,http://publications.europa.eu/resource/authority/multilingual/450,false,450,Multilingual Code,
460,http://publications.europa.eu/resource/authority/multilingual/460,false,460,Multilingual Code,
470,http://publications.europa.eu/resource/authority/multilingual/470,false,470,Multilingual Code,
480,http://publications.europa.eu/resource/authority/multilingual/480,false,480,Multilingual Code,
490,http://publications.europa.eu/resource/authority/multilingual/490,false,490,Multilingual Code,
4A0,http://publications.europa.eu/resource/authority/multilingual/4A0,false,4A0,Multilingual Code,
4B0,http://publications.europa.eu/resource/authority/multilingual/4B0,false,4B0,Multilingual Code,
4C0,http://publications.europa.eu/resource/authority/multilingual/4C0,false,4C0,Multilingual Code,
4D0,http://publications.europa.eu/resource/authority/multilingual/4D0,false,4D0,Multilingual Code,
4E0,http://publications.europa.eu/resource/authority/multilingual/4E0,false,4E0,Multilingual Code,
4F0,http://publications.europa.eu/resource/authority/multilingual/4F0,false,4F0,Multilingual Code,
4G0,http://publications.europa.eu/resource/authority/multilingual/4G0,false,4G0,Multilingual Code,
4H0,http://publications.europa.eu/resource/authority/multilingual/4H0,false,4H0,Multilingual Code,
4I0,http://publications.europa.eu/resource/authority/multilingual/4I0,false,4I0,Multilingual Code,
4J0,http://publications.europa.eu/resource/authority/multilingual/4J0,false,4J0,Multilingual Code,
4K0,http://publications.europa.eu/resource/authority/multilingual/4K0,false,4K0,Multilingual Code,
4L0,http://publications.europa.eu/resource/authority/multilingual/4L0,false,4L0,Multilingual Code,
4M0,http://publications.europa.eu/resource/authority/multilingual/4M0,false,4M0,Multilingual Code,
4N0,http://publications.europa.eu/resource/authority/multilingual/4N0,true,4N0,Multilingual Code,
4P0,http://publications.europa.eu/resource/authority/multilingual/4P0,false,4P0,Multilingual Code,
4Q0,http://publications.europa.eu/resource/authority/multilingual/4Q0,false,4Q0,Multilingual Code,
