# Serializing assets/vocabularies/website-identifier/latest/website-identifier.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/website-identifier
# title: Website identifier
# version: 20210616-0
# description: Website identifier
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
EUSC_WS,http://publications.europa.eu/resource/authority/website-identifier/EUSC_WS,false,2010-10-01,EUSC_WS,European Union Satellite Centre,Centro satellitare dell’Unione europea,
EU_VOCABULARIES_WS,http://publications.europa.eu/resource/authority/website-identifier/EU_VOCABULARIES_WS,false,2018-12-18,EU_VOCABULARIES_WS,EU Vocabularies,EU Vocabularies,
E_JUSTICE_WS,http://publications.europa.eu/resource/authority/website-identifier/E_JUSTICE_WS,false,2010-07-01,E_JUSTICE_WS,European e-Justice Portal,Portale europeo della giustizia elettronica,
FCH_WS,http://publications.europa.eu/resource/authority/website-identifier/FCH_WS,false,2010-10-01,FCH_WS,Fuel Cells and Hydrogen 2 Joint Undertaking,Impresa comune Celle a combustibile e idrogeno 2,
FISH_INSEP_WS,http://publications.europa.eu/resource/authority/website-identifier/FISH_INSEP_WS,false,2013-01-01,FISH_INSEP_WS,"Inseparable. Eat, Buy and Sell Sustainable Fish","Inseparabili. Mangia, compra e vendi pesce sostenibile",
FP5_WS,http://publications.europa.eu/resource/authority/website-identifier/FP5_WS,true,2006-12-18,FP5_WS,FP5 – Research and Innovation,FP5 – Ricerca e innovazione,2017-11-24
FRA_WS,http://publications.europa.eu/resource/authority/website-identifier/FRA_WS,false,2010-10-01,FRA_WS,European Union Agency for Fundamental Rights,Agenzia dell’Unione europea per i diritti fondamentali,
FRONTEX_WS,http://publications.europa.eu/resource/authority/website-identifier/FRONTEX_WS,false,2010-10-01,FRONTEX_WS,European Border and Coast Guard Agency,Agenzia europea della guardia di frontiera e costiera,
FUSEN_WS,http://publications.europa.eu/resource/authority/website-identifier/FUSEN_WS,false,2010-10-01,FUSEN_WS,Fusion for Energy Joint Undertaking,Impresa comune Fusion for Energy,
ICDPPC_WS,http://publications.europa.eu/resource/authority/website-identifier/ICDPPC_WS,false,2016-03-31,ICDPPC_WS,International Conference of Data Protection and Privacy Commissioners,,
IMI_WS,http://publications.europa.eu/resource/authority/website-identifier/IMI_WS,false,2010-10-01,IMI_WS,IMI 2 Joint Undertaking,Impresa comune IMI 2,
INEA_WS,http://publications.europa.eu/resource/authority/website-identifier/INEA_WS,false,2009-03-01,INEA_WS,Innovation and Networks Executive Agency,Agenzia esecutiva per l’innovazione e le reti,
LISA_WS,http://publications.europa.eu/resource/authority/website-identifier/LISA_WS,false,2011-11-01,LISA_WS,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice","Agenzia europea per la gestione operativa dei sistemi IT su larga scala nello spazio di libertà, sicurezza e giustizia",
MARE_WS,http://publications.europa.eu/resource/authority/website-identifier/MARE_WS,false,2008-05-20,MARE_WS,European Maritime Day,Giornata europea dei mari,
MDR_WS,http://publications.europa.eu/resource/authority/website-identifier/MDR_WS,true,2012-07-05,MDR_WS,Metadata Registry,,2018-12-17
N_LEX_WS,http://publications.europa.eu/resource/authority/website-identifier/N_LEX_WS,false,2006-04-01,N_LEX_WS,N-Lex,N-Lex,
OAMI_WS,http://publications.europa.eu/resource/authority/website-identifier/OAMI_WS,false,2016-03-23,OAMI_WS,European Union Intellectual Property Office,Ufficio dell'Unione europea per la proprietà intellettuale,
OLAF_WS,http://publications.europa.eu/resource/authority/website-identifier/OLAF_WS,false,1999-06-01,OLAF_WS,European Anti-Fraud Office,Ufficio europeo per la lotta antifrode,
